priceChangePercent,priceVolatility,priceTrend,precipitation,rootZoneSoilWetness,temperatureMax,temperatureMin,precipitationDelta,soilWetnessDelta,temperatureMaxDelta,riskLevel
-5.1471,3.3578,-3.2657,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-5.1471,3.3578,-3.2657,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-5.1471,3.3578,-3.2657,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-1.3566,3.1797,-2.993,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-1.3566,3.1797,-2.993,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-1.3566,3.1797,-2.993,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-3.3399,2.9765,-3.0364,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-3.3399,2.9765,-3.0364,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-3.3399,2.9765,-3.0364,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
2.0325,3.0441,-1.9516,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
2.0325,3.0441,-1.9516,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
2.0325,3.0441,-1.9516,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.996,3.1153,-1.3822,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.996,3.1153,-1.3822,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.996,3.1153,-1.3822,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-2.1696,2.4924,-0.8406,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-2.1696,2.4924,-0.8406,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-2.1696,2.4924,-0.8406,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-3.4274,2.6136,-1.2455,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-3.4274,2.6136,-1.2455,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-3.4274,2.6136,-1.2455,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
3.7578,2.8685,-1.0818,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
3.7578,2.8685,-1.0818,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
3.7578,2.8685,-1.0818,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
2.2133,2.5832,-0.1617,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
2.2133,2.5832,-0.1617,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
2.2133,2.5832,-0.1617,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
4.3307,2.9175,0.5492,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
4.3307,2.9175,0.5492,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
4.3307,2.9175,0.5492,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-3.5849,2.9591,0.5186,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-3.5849,2.9591,0.5186,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-3.5849,2.9591,0.5186,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
1.9569,2.9544,0.5091,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
1.9569,2.9544,0.5091,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
1.9569,2.9544,0.5091,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
2.1113,3.0001,0.6485,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
2.1113,3.0001,0.6485,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
2.1113,3.0001,0.6485,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
1.1278,2.8047,1.0607,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
1.1278,2.8047,1.0607,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
1.1278,2.8047,1.0607,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-4.461,3.0237,0.9315,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-4.461,3.0237,0.9315,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-4.461,3.0237,0.9315,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-0.5837,2.8525,0.3888,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-0.5837,2.8525,0.3888,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-0.5837,2.8525,0.3888,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.0,2.7683,0.1121,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.0,2.7683,0.1121,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.0,2.7683,0.1121,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.0,2.2688,-0.4292,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.0,2.2688,-0.4292,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.0,2.2688,-0.4292,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-5.2838,2.6083,-0.6416,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-5.2838,2.6083,-0.6416,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-5.2838,2.6083,-0.6416,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
1.8595,2.5963,-0.6537,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
1.8595,2.5963,-0.6537,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
1.8595,2.5963,-0.6537,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-2.8398,2.4494,-1.2726,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-2.8398,2.4494,-1.2726,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-2.8398,2.4494,-1.2726,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
1.0438,2.4393,-1.2831,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
1.0438,2.4393,-1.2831,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
1.0438,2.4393,-1.2831,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-0.4132,2.1275,-0.7772,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-0.4132,2.1275,-0.7772,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-0.4132,2.1275,-0.7772,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-3.3195,2.2831,-1.1191,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-3.3195,2.2831,-1.1191,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-3.3195,2.2831,-1.1191,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
2.7897,2.6162,-0.7704,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
2.7897,2.6162,-0.7704,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
2.7897,2.6162,-0.7704,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-2.5052,2.6548,-1.0836,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-2.5052,2.6548,-1.0836,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-2.5052,2.6548,-1.0836,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.8565,2.1736,-0.316,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.8565,2.1736,-0.316,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.8565,2.1736,-0.316,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.8493,2.0704,-0.4423,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.8493,2.0704,-0.4423,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.8493,2.0704,-0.4423,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
1.8947,1.975,0.1495,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
1.8947,1.975,0.1495,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
1.8947,1.975,0.1495,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
2.2727,2.0834,0.3031,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
2.2727,2.0834,0.3031,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
2.2727,2.0834,0.3031,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
3.4343,2.2958,0.7841,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
3.4343,2.2958,0.7841,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
3.4343,2.2958,0.7841,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
3.5156,1.8353,1.6384,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
3.5156,1.8353,1.6384,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
3.5156,1.8353,1.6384,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-1.3208,2.0083,1.1246,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-1.3208,2.0083,1.1246,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-1.3208,2.0083,1.1246,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-7.6482,3.4049,0.4818,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-7.6482,3.4049,0.4818,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-7.6482,3.4049,0.4818,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-0.4141,3.4133,0.3229,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-0.4141,3.4133,0.3229,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-0.4141,3.4133,0.3229,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
1.6632,3.4395,0.4247,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
1.6632,3.4395,0.4247,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
1.6632,3.4395,0.4247,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.0,3.3951,0.1878,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.0,3.3951,0.1878,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.0,3.3951,0.1878,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-5.5215,3.7562,-0.7864,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-5.5215,3.7562,-0.7864,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-5.5215,3.7562,-0.7864,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.0,3.4315,-1.2157,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.0,3.4315,-1.2157,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.0,3.4315,-1.2157,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
4.5455,3.6207,-1.087,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
4.5455,3.6207,-1.087,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
4.5455,3.6207,-1.087,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-1.4493,3.6219,-1.1031,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-1.4493,3.6219,-1.1031,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-1.4493,3.6219,-1.1031,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-2.521,2.7576,-0.4621,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-2.521,2.7576,-0.4621,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-2.521,2.7576,-0.4621,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-0.6466,2.7581,-0.4912,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-0.6466,2.7581,-0.4912,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-0.6466,2.7581,-0.4912,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-3.6876,2.803,-1.1601,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-3.6876,2.803,-1.1601,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-3.6876,2.803,-1.1601,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.6757,2.8465,-1.0756,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.6757,2.8465,-1.0756,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.6757,2.8465,-1.0756,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
3.3557,2.6183,0.034,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
3.3557,2.6183,0.034,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
3.3557,2.6183,0.034,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-1.9481,2.6994,-0.2095,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-1.9481,2.6994,-0.2095,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-1.9481,2.6994,-0.2095,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
3.3113,2.4467,-0.3637,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
3.3113,2.4467,-0.3637,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
3.3113,2.4467,-0.3637,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-1.2821,2.438,-0.3428,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-1.2821,2.438,-0.3428,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-1.2821,2.438,-0.3428,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
3.8961,2.637,0.4593,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
3.8961,2.637,0.4593,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
3.8961,2.637,0.4593,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-6.6667,3.5471,-0.2932,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-6.6667,3.5471,-0.2932,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-6.6667,3.5471,-0.2932,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
3.3482,3.4678,0.5863,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
3.3482,3.4678,0.5863,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
3.3482,3.4678,0.5863,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-2.8078,3.6435,0.1508,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-2.8078,3.6435,0.1508,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-2.8078,3.6435,0.1508,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.4444,3.4452,-0.2131,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.4444,3.4452,-0.2131,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.4444,3.4452,-0.2131,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-1.3274,3.4121,-0.1355,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-1.3274,3.4121,-0.1355,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-1.3274,3.4121,-0.1355,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-3.5874,3.302,-0.9978,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-3.5874,3.302,-0.9978,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-3.5874,3.302,-0.9978,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.0,3.3154,-0.8376,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.0,3.3154,-0.8376,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.0,3.3154,-0.8376,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-1.8605,2.7936,-1.5572,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-1.8605,2.7936,-1.5572,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-1.8605,2.7936,-1.5572,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.0,2.037,-0.7238,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.0,2.037,-0.7238,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.0,2.037,-0.7238,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
1.4218,1.6106,-0.9646,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
1.4218,1.6106,-0.9646,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
1.4218,1.6106,-0.9646,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-2.5701,1.5782,-0.9349,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-2.5701,1.5782,-0.9349,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-2.5701,1.5782,-0.9349,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.7194,1.6105,-0.9005,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.7194,1.6105,-0.9005,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.7194,1.6105,-0.9005,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.2381,1.6416,-0.7048,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.2381,1.6416,-0.7048,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.2381,1.6416,-0.7048,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-0.4751,1.2294,-0.3158,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-0.4751,1.2294,-0.3158,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-0.4751,1.2294,-0.3158,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-0.9547,1.2392,-0.4351,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-0.9547,1.2392,-0.4351,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-0.9547,1.2392,-0.4351,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-2.6506,1.3731,-0.5339,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-2.6506,1.3731,-0.5339,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-2.6506,1.3731,-0.5339,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.2475,1.3875,-0.503,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.2475,1.3875,-0.503,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.2475,1.3875,-0.503,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
1.4815,1.398,-0.4955,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
1.4815,1.398,-0.4955,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
1.4815,1.398,-0.4955,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
3.163,1.6049,0.2211,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
3.163,1.6049,0.2211,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
3.163,1.6049,0.2211,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-1.1792,1.6534,-0.0162,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-1.1792,1.6534,-0.0162,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-1.1792,1.6534,-0.0162,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
0.4773,1.6598,0.0137,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
0.4773,1.6598,0.0137,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
0.4773,1.6598,0.0137,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-0.4751,1.6598,0.0137,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-0.4751,1.6598,0.0137,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-0.4751,1.6598,0.0137,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
397.3747,131.379,49.8049,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,HIGH
